"Subj"	"Order"	"GOOD"	"GC"	"GC1"	"GC2"	"BAD"	"BC"
8	5	"love for native land and people"	"nation"	"traditions"	"traditions/family"	"captation"	"conceit"
225	3	"love life"	"family"	"family"	"traditions/family"	"shy/cowardly"	"cowardice"
201	6	"close to relatives"	"family"	"family"	"traditions/family"	"not organized"	"disorganized"
12	4	"love and devotion to family"	"family"	"family"	"traditions/family"	"impudent"	"disrespect"
27	5	"love for relatives"	"family"	"family"	"traditions/family"	"disobedient"	"disrespect"
41	2	"family oriented"	"family"	"family"	"traditions/family"	"rude/sharp-tongued"	"disrespect"
125	4	"love for family and clan"	"family"	"traditions"	"traditions/family"	"disregards relatives"	"disrespect"
20	3	"good relationship with relatives"	"family"	"family"	"traditions/family"	"envy"	"envious"
4	7	"having a strong relationship with family"	"family"	"family"	"traditions/family"	"laziness"	"lazy"
123	4	"good parents"	"family"	"family"	"traditions/family"	"doesn’t help anyone"	"unhelpful"
213	2	"love for family and parents"	"family"	"family"	"traditions/family"	"takes care of the widowed"	"miscellaneous"
6	10	"being ready to die for your children"	"family"	"family"	"traditions/family"	NA	NA
10	5	"having a strong relationship with family"	"family"	"family"	"traditions/family"	NA	NA
15	6	"love for children"	"family"	"family"	"traditions/family"	NA	NA
33	10	"devoted to family"	"family"	"family"	"traditions/family"	NA	NA
39	7	"listen to parents"	"family"	"family"	"traditions/family"	NA	NA
39	8	"faithful to spouse"	"family"	"family"	"traditions/family"	NA	NA
39	9	"repay debt to ancestors"	"family"	"traditions"	"traditions/family"	NA	NA
212	5	"love for children"	"family"	"family"	"traditions/family"	NA	NA
123	3	"consistently principled with family"	"family"	"family"	"traditions/family"	"no family"	"no family connection"
213	4	"love your wife and daughter"	"family"	"family"	"traditions/family"	"huge desires"	"greedy"
229	3	"has a family"	"family"	"family"	"traditions/family"	"avoiding agriculture"	"not connected to nature"
135	2	"for parents, devotion to family"	"family"	"family"	"traditions/family"	"smokes"	"smokes"
1	7	"love for children"	"family"	"family"	"traditions/family"	"stealing"	"steal"
123	5	"love for parents"	"family"	"family"	"traditions/family"	"steals"	"steal"
7	7	"love for your children"	"family"	"family"	"traditions/family"	"treachery"	"untrustworthy"
8	6	"having a strong relationship with family"	"family"	"family"	"traditions/family"	"slyness"	"untrustworthy"
132	5	"pass on traditions to children"	"family"	"traditions"	"traditions/family"	"theft"	"steal"
211	5	"playful/fun"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"angry"	"angry"
204	5	"friendly"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"apathetic"	"apathetic"
105	5	"strong relationships"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"black intentions"	"bad (mental)"
221	3	"open disposition"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"black intentions"	"bad (mental)"
29	5	"laughter"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"thinks of one’s self"	"conceit"
121	6	"strong relationships"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"know-it-all"	"conceit"
27	4	"openness"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"dependent on other people's opinions"	"covetousness"
216	5	"friendly"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"cruel"	"cruel"
218	4	"happy"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"derisive"	"cruel"
4	5	"pleasing, nice"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"impudent"	"disrespect"
41	4	"cheery/lively/playful"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"envious"	"envious"
201	5	"hospitable (respectful)"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"irresponsible"	"irresponsible"
36	4	"friendly"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"foolish, stupid"	"lacks knowledge"
12	3	"a high spirit"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"laziness"	"lazy"
29	8	"joke"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"lazy"	"lazy"
5	6	"optimism"	"friendly/happy"	"friendly/happy"	"friendly/happy"	NA	NA
122	6	"good-natured/friendly manner"	"friendly/happy"	"friendly/happy"	"friendly/happy"	NA	NA
129	5	"good-natured/friendly "	"friendly/happy"	"friendly/happy"	"friendly/happy"	NA	NA
131	5	"happy"	"friendly/happy"	"friendly/happy"	"friendly/happy"	NA	NA
133	9	"happy-cheery/lively/playful"	"friendly/happy"	"friendly/happy"	"friendly/happy"	NA	NA
224	2	"optimistic"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"hostile"	"reckless"
128	4	"cheery/lively/playful-happy"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"steals"	"steal"
29	3	"loves life"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"suck-up/ass-kiss"	"suck-up"
130	5	"cheery/lively/playful-happy"	"friendly/happy"	"friendly/happy"	"friendly/happy"	"suck-up/ass-kiss"	"suck-up"
209	1	"good conscience"	"good conscience"	"good conscience"	"good conscience"	"drinks"	"alcohol"
211	2	"white conscience"	"good conscience"	"good conscience"	"good conscience"	"drunk"	"alcohol"
224	5	"pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	"hot blooded"	"angry"
28	5	"love for beautiful, good actions"	"good conscience"	"good conscience"	"good conscience"	"not attentive/not careful with each other"	"apathetic"
204	1	"pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	"learning bad things"	"bad (mental)"
102	6	"pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	"Blabberer"	"blabberer"
228	1	"good conscience"	"good conscience"	"good conscience"	"good conscience"	"cruel"	"cruel"
215	2	"pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	"no customs"	"disrespect customs"
102	3	"pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	"desires a lot"	"greedy"
101	5	"good conscience"	"good conscience"	"good conscience"	"good conscience"	"lazy path"	"lazy"
105	1	"good conscience"	"good conscience"	"good conscience"	"good conscience"	"lazy"	"lazy"
22	1	"good  "	"good conscience"	"good conscience"	"good conscience"	NA	NA
33	9	"pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	NA	NA
39	2	"Pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	NA	NA
30	2	"pure conscience/pure hearted"	"good conscience"	"good conscience"	"good conscience"	"theft"	"steal"
36	3	"good conscience"	"good conscience"	"good conscience"	"good conscience"	"not honest with family"	"untrustworthy"
18	1	"industry"	"hard-working"	"hard-working"	"hard-working"	"drinking alcohol"	"alcohol"
19	3	"diligence"	"hard-working"	"hard-working"	"hard-working"	"inclination to alcohol"	"alcohol"
40	3	"Hard-working"	"hard-working"	"hard-working"	"hard-working"	"Drunk"	"alcohol"
129	3	"energetic (work)-adroit"	"hard-working"	"hard-working"	"hard-working"	"drinks"	"alcohol"
212	1	"working"	"hard-working"	"hard-working"	"hard-working"	"Drinks path"	"alcohol"
27	3	"industry"	"hard-working"	"hard-working"	"hard-working"	"irascibility"	"angry"
205	2	"diligent/goal-oriented/headstrong"	"hard-working"	"hard-working"	"hard-working"	"doesn't try new things"	"apathetic"
121	3	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	"black intentions"	"bad (mental)"
224	3	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"dark conscience/black hearted"	"bad (mental)"
228	4	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"loudmouthed"	"blabberer"
1	3	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"hard-heartedness"	"cold"
130	6	"driven"	"hard-working"	"hard-working"	"hard-working"	"look down on your peers"	"conceit"
29	2	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"shy/cowardly"	"cowardice"
2	5	"diligent"	"hard-working"	"hard-working"	"hard-working"	"cruelty"	"cruel"
2	11	"industrious"	"hard-working"	"hard-working"	"hard-working"	"mean"	"cruel"
103	1	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	"cruel"	"cruel"
41	3	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	"scrubby/dirty"	"dirty"
8	8	"hard working"	"hard-working"	"hard-working"	"hard-working"	"disrespect (especially young people disrespecting elderly)"	"disrespect"
11	1	"industrious"	"hard-working"	"hard-working"	"hard-working"	"envy"	"envious"
132	2	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"envious"	"envious"
132	3	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	"forceful"	"forceful"
7	10	"industrious"	"hard-working"	"hard-working"	"hard-working"	"greediness"	"greedy"
24	3	"energetic"	"hard-working"	"hard-working"	"hard-working"	"greediness"	"greedy"
25	4	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"greediness"	"greedy"
116	4	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	"desirous"	"greedy"
7	9	"energetic"	"hard-working"	"hard-working"	"hard-working"	"querulousness"	"lazy"
18	2	"diligence"	"hard-working"	"hard-working"	"hard-working"	"laziness"	"lazy"
24	1	"industry"	"hard-working"	"hard-working"	"hard-working"	"laziness"	"lazy"
28	6	"industry"	"hard-working"	"hard-working"	"hard-working"	"unemployed"	"lazy"
38	3	"Energetic (work)"	"hard-working"	"hard-working"	"hard-working"	"Lazy"	"lazy"
123	2	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"doesn’t work"	"lazy"
129	1	"strong/athletic"	"hard-working"	"hard-working"	"hard-working"	"lazy"	"lazy"
202	3	"working"	"hard-working"	"hard-working"	"hard-working"	"lazy"	"lazy"
205	3	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"slow/sluggish"	"lazy"
217	3	"studious/industrious"	"hard-working"	"hard-working"	"hard-working"	"lazy"	"lazy"
39	1	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"I answered in the 2nd question"	"miscellaneous"
8	7	"industrious"	"hard-working"	"hard-working"	"hard-working"	"murder"	"murder"
10	4	"persistant"	"hard-working"	"hard-working"	"hard-working"	NA	NA
12	5	"industrious"	"hard-working"	"hard-working"	"hard-working"	NA	NA
41	8	"hard-working"	"hard-working"	"hard-working"	"hard-working"	NA	NA
121	8	"strong willed"	"hard-working"	"hard-working"	"hard-working"	NA	NA
128	5	"hard-working"	"hard-working"	"hard-working"	"hard-working"	NA	NA
131	6	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	NA	NA
133	8	"diligent/goal-oriented/headstrong"	"hard-working"	"hard-working"	"hard-working"	NA	NA
210	8	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	NA	NA
17	4	"industry"	"hard-working"	"hard-working"	"hard-working"	"theft"	"steal"
29	7	"energetic (work)"	"hard-working"	"hard-working"	"hard-working"	"theft"	"steal"
105	9	"hard-working"	"hard-working"	"hard-working"	"hard-working"	"steal"	"steal"
2	7	"hard working"	"hard-working"	"hard-working"	"hard-working"	"theft"	"steal"
4	1	"industrious"	"hard-working"	"hard-working"	"hard-working"	"falsity"	"untrustworthy"
7	5	"industrious"	"hard-working"	"hard-working"	"hard-working"	"falsity"	"untrustworthy"
33	1	"loves to do hard work, energetic (work)-brave way/path"	"hard-working"	"hard-working"	"hard-working"	"liar"	"untrustworthy"
105	10	"energetic (work)-helpful"	"hard-working"	"hard-working"	"hard-working"	"liar"	"untrustworthy"
133	3	"doesn't give up"	"hard-working"	"hard-working"	"hard-working"	"liar"	"untrustworthy"
133	4	"energetic"	"hard-working"	"hard-working"	"hard-working"	"liar"	"untrustworthy"
212	2	"studious/industrious"	"hard-working"	"hard-working"	"hard-working"	"thief path"	"steal"
220	2	"working"	"hard-working"	"hard-working"	"hard-working"	"liar"	"untrustworthy"
20	2	"industry"	"hard-working"	"hard-working"	"hard-working"	"inabilty for surviving any grief or distress"	"weak"
15	1	"helpful"	"helpful"	"helpful"	"helpful"	"drinking alcohol"	"alcohol"
41	1	"Helpful"	"helpful"	"helpful"	"helpful"	"drinks"	"alcohol"
223	1	"helpful"	"helpful"	"helpful"	"helpful"	"drinks"	"alcohol"
28	2	"helpful"	"helpful"	"helpful"	"helpful"	"unpurposefulness"	"apathetic"
29	10	"helpful"	"helpful"	"helpful"	"helpful"	"doesn't try new things"	"apathetic"
212	3	"helpful"	"helpful"	"helpful"	"helpful"	"need to commit misconduct"	"bad (behavior)"
36	6	"helpful"	"helpful"	"helpful"	"helpful"	"hastily/carelessly (only thinking of yourself)"	"conceit"
215	3	"helpful"	"helpful"	"helpful"	"helpful"	"proud of wealth"	"conceit"
2	3	"ready to help"	"helpful"	"helpful"	"helpful"	"covetousness"	"covetousness"
226	7	"helpful"	"helpful"	"helpful"	"helpful"	"covetousness"	"covetousness"
230	4	"helpful"	"helpful"	"helpful"	"helpful"	"covetousness"	"covetousness"
210	5	"helpful"	"helpful"	"helpful"	"helpful"	"shy/cowardly"	"cowardice"
5	3	"helping"	"helpful"	"helpful"	"helpful"	"cruelty"	"cruel"
21	3	"helpful"	"helpful"	"helpful"	"helpful"	"cruelty"	"cruel"
201	4	"helpful"	"helpful"	"helpful"	"helpful"	"elders respectful not"	"disrespect"
202	4	"helpful"	"helpful"	"helpful"	"helpful"	"impudent"	"disrespect"
18	5	"helpful"	"helpful"	"helpful"	"helpful"	"envy"	"envious"
134	3	"helpful"	"helpful"	"helpful"	"helpful"	"envious"	"envious"
211	3	"helpful"	"helpful"	"helpful"	"helpful"	"envious"	"envious"
216	1	"helpful"	"helpful"	"helpful"	"helpful"	"envious"	"envious"
218	2	"helpful"	"helpful"	"helpful"	"helpful"	"envious"	"envious"
134	4	"helpful"	"helpful"	"helpful"	"helpful"	"greedy"	"greedy"
9	5	"helpfullness"	"helpful"	"helpful"	"helpful"	"stupidity"	"lacks knowledge"
15	4	"help for younger people"	"helpful"	"helpful"	"helpful"	"not helpful"	"unhelpful"
105	3	"helpful"	"helpful"	"helpful"	"helpful"	"no desire to work"	"lazy"
133	2	"helpful"	"helpful"	"helpful"	"helpful"	"lazy"	"lazy"
203	2	"helpful"	"helpful"	"helpful"	"helpful"	"lazy"	"lazy"
205	1	"helpful"	"helpful"	"helpful"	"helpful"	"lazy"	"lazy"
228	3	"helpful"	"helpful"	"helpful"	"helpful"	"lazy"	"lazy"
6	6	"helpfullness"	"helpful"	"helpful"	"helpful"	NA	NA
38	6	"Helpful"	"helpful"	"helpful"	"helpful"	NA	NA
213	1	"helpful"	"helpful"	"helpful"	"helpful"	"turning your back on family"	"no family connection"
27	2	"helpful"	"helpful"	"helpful"	"helpful"	"wild/unsociable"	"reckless"
7	2	"helpfullness"	"helpful"	"helpful"	"helpful"	"smoking"	"smokes"
217	5	"helpful"	"helpful"	"helpful"	"helpful"	"suck-up/ass-kiss"	"suck-up"
4	6	"helping"	"helpful"	"helpful"	"helpful"	"not keeping a promise"	"untrustworthy"
17	3	"helpful"	"helpful"	"helpful"	"helpful"	"falsity"	"untrustworthy"
34	2	"helpful"	"helpful"	"helpful"	"helpful"	"cunning"	"untrustworthy"
101	2	"helpful"	"helpful"	"helpful"	"helpful"	"liar"	"untrustworthy"
226	3	"helpful"	"helpful"	"helpful"	"helpful"	"liar"	"untrustworthy"
125	1	"Honest"	"honest"	"honest"	"honest"	"drinks a lot"	"alcohol"
220	3	"honest"	"honest"	"honest"	"honest"	"drunk"	"alcohol"
225	2	"honest"	"honest"	"honest"	"honest"	"drinks"	"alcohol"
25	1	"honest"	"honest"	"honest"	"honest"	"talkativeness"	"blabberer"
3	4	"not to lie"	"honest"	"honest"	"honest"	"hard-heartedness"	"cold"
11	7	"straightforwardness"	"honest"	"honest"	"honest"	"hard-heartedness"	"cold"
126	3	"honest"	"honest"	"honest"	"honest"	"look down on your peers"	"conceit"
135	4	"honest"	"honest"	"honest"	"honest"	"look down on your peers"	"conceit"
219	1	"honest"	"honest"	"honest"	"honest"	"covetousness"	"covetousness"
21	5	"frank"	"honest"	"honest"	"honest"	"flippant"	"disrespect"
33	3	"not a liar"	"honest"	"honest"	"honest"	"not devoted to elders' words"	"disrespect"
40	2	"Honest"	"honest"	"honest"	"honest"	"rude/sharp-tongued"	"disrespect"
105	2	"honest"	"honest"	"honest"	"honest"	"rude/sharp-tongued"	"disrespect"
102	1	"honest"	"honest"	"honest"	"honest"	"envious"	"envious"
221	4	"honest"	"honest"	"honest"	"honest"	"envious"	"envious"
118	3	"honest"	"honest"	"honest"	"honest"	"greediness"	"greedy"
38	2	"Honest"	"honest"	"honest"	"honest"	"Ignorant/wild"	"lacks knowledge"
9	4	"honesty"	"honest"	"honest"	"honest"	"laziness"	"lazy"
33	2	"honest way/path"	"honest"	"honest"	"honest"	"doesn’t love hard work, lazy, suck-up/ass-kiss"	"lazy"
36	8	"honest"	"honest"	"honest"	"honest"	"youthful resistance"	"disrespect"
34	4	"honest"	"honest"	"honest"	"honest"	NA	NA
127	2	"honest"	"honest"	"honest"	"honest"	NA	NA
133	10	"honest"	"honest"	"honest"	"honest"	NA	NA
134	1	"honest"	"honest"	"honest"	"honest"	"thief"	"steal"
131	2	"honest"	"honest"	"honest"	"honest"	"unwavering"	"stubborn"
30	1	"honest"	"honest"	"honest"	"honest"	"liar"	"untrustworthy"
130	1	"honest"	"honest"	"honest"	"honest"	"liar"	"untrustworthy"
211	1	"honest"	"honest"	"honest"	"honest"	"liar"	"untrustworthy"
217	2	"honest"	"honest"	"honest"	"honest"	"liar"	"untrustworthy"
101	3	"honorable"	"honorable"	"honorable"	"honorable"	"tendency toward araga"	"alcohol"
33	7	"honorable"	"honorable"	"honorable"	"honorable"	NA	NA
36	10	"hospitable  "	"hospitable"	"hospitable"	"hospitable"	"greedy path"	"greedy"
124	1	"I don't know"	"I don't know"	"I don't know"	"I don't know"	"Well-raised"	"miscellaneous"
226	1	"inspired"	"inspired"	"inspired"	"inspired"	"drunk"	"alcohol"
221	2	"inspired"	"inspired"	"inspired"	"inspired"	"shy/cowardly"	"cowardice"
130	4	"inspired"	"inspired"	"inspired"	"inspired"	"greedy"	"greedy"
121	9	"inspired"	"inspired"	"inspired"	"inspired"	NA	NA
132	1	"inspired"	"inspired"	"inspired"	"inspired"	"fake/two-faced"	"untrustworthy"
31	1	"knows Tyvan language"	"intelligent"	"traditions"	"traditions/family"	"drinks"	"alcohol"
204	4	"learned, "	"intelligent"	"intelligent"	"intelligent"	"tendency toward araga"	"alcohol"
229	1	"knowledgeable/scientific"	"intelligent"	"intelligent"	"intelligent"	"uninspired"	"apathetic"
36	12	"bright smart way/path "	"intelligent"	"intelligent"	"intelligent"	"black intentions path"	"bad (mental)"
2	6	"intelligent"	"intelligent"	"intelligent"	"intelligent"	"hard-heartedness"	"cold"
41	5	"smart"	"intelligent"	"intelligent"	"intelligent"	"covetousness (???????-??????)"	"covetousness"
38	1	"Smart"	"intelligent"	"intelligent"	"intelligent"	"cruel"	"cruel"
208	1	"smart"	"intelligent"	"intelligent"	"intelligent"	"cruel"	"cruel"
206	3	"smart"	"intelligent"	"intelligent"	"intelligent"	"impudent"	"disrespect"
224	1	"smart"	"intelligent"	"intelligent"	"intelligent"	"envious"	"envious"
6	3	"intelligent"	"intelligent"	"intelligent"	"intelligent"	"greediness"	"greedy"
36	2	"knowing your people's/ancestors' history"	"intelligent"	"traditions"	"traditions/family"	"greedy"	"greedy"
105	8	"knowledgeable/scientific"	"intelligent"	"intelligent"	"intelligent"	"greedy"	"greedy"
226	5	"wise"	"intelligent"	"intelligent"	"intelligent"	"greedy"	"greedy"
217	1	"smart"	"intelligent"	"intelligent"	"intelligent"	"stupid"	"lacks knowledge"
218	3	"bright head, smart"	"intelligent"	"intelligent"	"intelligent"	"doesn't know traditions"	"disrespect customs"
2	9	"eloquence"	"intelligent"	"intelligent"	"intelligent"	"weak-willed"	"weak"
11	5	"intelligent"	"intelligent"	"intelligent"	"intelligent"	"laziness"	"lazy"
103	4	"intelligent"	"intelligent"	"intelligent"	"intelligent"	"lazy"	"lazy"
12	6	"educated"	"intelligent"	"intelligent"	"intelligent"	NA	NA
22	3	"intelligent"	"intelligent"	"intelligent"	"intelligent"	NA	NA
31	2	"knows Tyvan customs"	"intelligent"	"traditions"	"traditions/family"	NA	NA
34	3	"smart"	"intelligent"	"intelligent"	"intelligent"	NA	NA
209	6	"smart"	"intelligent"	"intelligent"	"intelligent"	NA	NA
210	7	"smart"	"intelligent"	"intelligent"	"intelligent"	NA	NA
210	9	"wise"	"intelligent"	"intelligent"	"intelligent"	NA	NA
219	5	"smart"	"intelligent"	"intelligent"	"intelligent"	NA	NA
207	5	"smart"	"intelligent"	"intelligent"	"intelligent"	"smokes"	"smokes"
120	2	"smart"	"intelligent"	"intelligent"	"intelligent"	"theft"	"steal"
135	3	"smart/bright"	"intelligent"	"intelligent"	"intelligent"	"need to steal"	"steal"
220	1	"smart"	"intelligent"	"intelligent"	"intelligent"	"stupid"	"lacks knowledge"
21	1	"intelligent"	"intelligent"	"intelligent"	"intelligent"	"sly"	"untrustworthy"
105	6	"articulate"	"intelligent"	"intelligent"	"intelligent"	"back-biting"	"untrustworthy"
219	3	"articulate"	"intelligent"	"intelligent"	"intelligent"	"liar"	"untrustworthy"
228	2	"articulate"	"intelligent"	"intelligent"	"intelligent"	"liar"	"untrustworthy"
203	4	"interesting"	"interesting"	"interesting"	"interesting"	"no desire to know more"	"lacks knowledge"
33	8	"not interesting"	"interesting"	"interesting"	"interesting"	NA	NA
7	1	"kind-hearted"	"kind"	"kind"	"kind"	"alchohol"	"alcohol"
9	1	"kindness"	"kind"	"kind"	"kind"	"inclination to alcohol"	"alcohol"
11	9	"kindness"	"kind"	"kind"	"kind"	"inclination to alcohol"	"alcohol"
12	1	"kindness"	"kind"	"kind"	"kind"	"alcohol"	"alcohol"
